id,name,capacity,grass,city,state,zip,country_code,location,elevation,year_constructed,dome,location/x,location/y
3504,Aviva Stadium,51700,TRUE,Dublin,,,IE,,2.264276505,2010,FALSE,53.33523,-6.228447
3627,Bailey Memorial Stadium,6500,,Clinton,SC,,US,,194.1601868,2002,FALSE,34.46158,-81.861368
3628,Bank of America Stadium,75412,TRUE,Charlotte,NC,28202,US,,220.8777466,1996,FALSE,35.225833,-80.852778
3629,Barker-Lane Stadium,5000,,Buies Creek,NC,,US,,56.51401138,2008,FALSE,35.4047689,-78.7424842
3630,BB&T Field,31500,FALSE,Winston-Salem,NC,27105,US,,283.548584,1968,FALSE,36.1305507,-80.2545851
3631,BBVA Compass Stadium,22039,,Houston,TX,,US,,13.68128395,2012,FALSE,29.7521988,-95.3524146
3632,Beaver Stadium,106572,FALSE,University Park,PA,16802,US,,354.1551514,1960,FALSE,40.8121958,-77.8561023
3634,Ben Hill Griffin Stadium,88548,FALSE,Gainesville,FL,32653,US,,44.97250748,1930,FALSE,29.6499357,-82.3485788
4729,Benson Field at Yulman Stadium,30000,FALSE,New Orleans,LA,,US,,1.18E-38,2014,FALSE,29.944616,-90.116692
3636,Bill Snyder Family Football Stadium,50000,FALSE,Manhattan,KS,66502,US,,328.0574646,1968,FALSE,39.2020096,-96.5938395
3639,Blackshear Stadium,15000,,Prairie View,TX,,US,,78.4,2016,FALSE,,
3841,Blaik Field at Michie Stadium,38000,FALSE,West Point,NY,10996,US,,99.21277618,1924,FALSE,41.3874924,-73.9640891
3697,Bobby Bowden Field at Doak Campbell Stadium,79560,FALSE,Tallahassee,FL,32306,US,,19.55942535,1950,FALSE,30.4381692,-84.3044032
721,Bobby Dodd Stadium at Historic Grant Field,55000,FALSE,Atlanta,GA,30332,US,,279.300415,1913,FALSE,33.7724449,-84.3928054
3643,Bobcat Stadium,19000,,Bozeman,MT,,US,,1507.508667,1973,FALSE,45.659048,-111.049547
4419,Bob Ford Field,8500,,Albany,NY,,US,,64.42764282,2013,FALSE,42.6808062,-73.8272841
3646,Boone Pickens Stadium,60218,FALSE,Stillwater,OK,74078,US,,276.4808655,1919,FALSE,36.125673,-97.066513
3647,Bowers Stadium,14000,,Huntsville,TX,,US,,127.6225204,1986,FALSE,30.713926,-95.5419802
3649,Bowman Gray Stadium,17000,,Winston-Salem,NC,,US,,242.5,1937,FALSE,,
3650,Bragg Memorial Stadium,25500,,Tallahassee,FL,,US,,31.18483925,1957,FALSE,30.4261632,-84.2923095
4133,Braly Municipal Stadium,14215,,Florence,AL,,US,,172.3,1949,FALSE,,
3651,Bridgeforth Stadium,24878,,Harrisonburg,VA,,US,,399.303009,1975,FALSE,38.4352919,-78.8729349
3764,Brigham Field at Huskie Stadium,23595,FALSE,DeKalb,IL,60115,US,,267.4530029,1965,FALSE,41.9339586,-88.7778357
3652,Bright House Networks Stadium,44206,FALSE,Orlando,FL,32816,US,,20.94113731,2007,FALSE,28.6079765,-81.1927233
4617,Bristol Motor Speedway,162000,TRUE,Briston,TN,,US,,456.8201294,1961,FALSE,36.516,-82.257
3654,Brooks Stadium,9214,FALSE,Conway,SC,29528,US,,13.74894905,2003,FALSE,33.7928506,-79.0166946
3655,Brown Field,5000,,Valparaiso,IN,,US,,244.6367645,1919,FALSE,41.465642,-87.0479446
3656,Brown Stadium,20000,FALSE,Providence,RI,2912,US,,33.87348557,1925,FALSE,41.842114,-71.3939416
3657,Bryant Denny Stadium,101821,FALSE,Tuscaloosa,AL,35487,US,,70.05136108,1929,FALSE,33.2082752,-87.5503836
3658,Buccaneer Field,4000,,North Charleston,SC,,US,,12.6744318,1970,FALSE,32.9810239,-80.0659664
3661,Bulldog Stadium,4400,,Smithfield,RI,,US,,124.471344,1999,FALSE,41.924206,-71.5385124
3660,Bulldog Stadium,41031,FALSE,Fresno,CA,93740,US,,102.564064,1980,FALSE,36.8143527,-119.7580092
3664,Butler Bowl,5500,,Indianapolis,IN,,US,,221.1980591,1928,FALSE,39.8444694,-86.1659242
3666,Cajun Field,36900,FALSE,Lafayette,LA,70506,US,,3.556508303,1971,FALSE,30.2158434,-92.0417371
3831,California Memorial Stadium,62717,FALSE,Berkeley,CA,94720,US,,125.3108063,1923,FALSE,37.8710434,-122.2507729
4013,Camping World Stadium,65000,FALSE,Orlando,FL,,US,,31.37226868,1946,FALSE,28.539167,-81.402778
347,Camp Randall Stadium,80321,FALSE,Madison,WI,53711,US,,263.604126,1917,FALSE,43.06994,-89.4126943
3668,Campus Field,4000,,Fairfield,CT,,US,,82.02420044,1993,FALSE,41.2212488,-73.2417431
5388,Canvas Stadium,41000,FALSE,Fort Collins,CO,80521,US,,1528.4,2017,FALSE,,
1964,Carrier Dome,49250,FALSE,Syracuse,NY,13244,US,,162.6989746,1980,FALSE,43.0362269,-76.1363161
3670,Carter-Finley Stadium,57583,FALSE,Raleigh,NC,27695,US,,117.0089951,1966,FALSE,35.8008001,-78.7195655
3671,Case Field,2400,FALSE,Cleveland,OH,85099,US,,-81.603639,2005,FALSE,,
3625,Centennial Bank Stadium,30964,FALSE,Jonesboro,AR,72404,US,,89.52690887,1974,FALSE,35.8488977,-90.6677436
3673,CenturyLink Field,69000,FALSE,Seattle,WA,,US,,5.2,2002,FALSE,,
4251,Chase Field,48519,FALSE,Phoenix,AZ,,US,,323.2064514,1998,FALSE,33.445278,-112.066944
3486,Children's Mercy Park,18467,,Kansas City,KS,,US,,300.8,2011,FALSE,,
3676,Christy Mathewson-Memorial Stadium,13100,,Lewisburg,PA,,US,,151.194931,1924,FALSE,40.9519411,-76.884752
3681,Coffey Field,7000,,The Bronx,NY,,US,,31.2384243,1930,FALSE,40.8615808,-73.8827649
3683,Commonwealth Stadium,61000,FALSE,Lexington,KY,40506,US,,307.4248962,1973,FALSE,38.0220905,-84.5053408
3847,Cooper Field,2500,,Washington,DC,,US,,32.38431549,2003,FALSE,38.9080248,-77.0753144
499,Cotton Bowl,92100,FALSE,Dallas,TX,75210,US,,133.2241211,1930,FALSE,32.779722,-96.759722
3685,Coughlin-Alumni Stadium,16700,FALSE,Brookings,SD,57007,US,,495.8,1961,FALSE,,
5237,Coughlin-Alumni Stadium,15000,,Brookings,SD,,US,,495.7769775,1962,FALSE,44.3210182,-96.7801386
3686,Cowboy Stadium,17410,,Lake Charles,LA,,US,,4.168509007,1965,FALSE,30.1804575,-93.2178729
3689,Cramton Bowl,21000,FALSE,Montgomery,AL,36101,US,,75.10210419,1922,FALSE,32.37949,-86.293002
4737,Croke Park Stadium,82300,FALSE,Dublin,,,IE,,4.7,1884,FALSE,,
1905,DakotaDome,10000,FALSE,Vermillion,SD,,US,,373.3928833,1979,FALSE,42.7911218,-96.9278427
3910,Darrell K Royal-Texas Memorial Stadium,100119,FALSE,Austin,TX,78712,US,,160.3089447,1924,FALSE,30.2836813,-97.7325345
3693,Davis Wade Stadium,61337,FALSE,Starkville,MS,39762,US,,110.2742081,1914,FALSE,33.4563403,-88.7933652
3691,D. B. Milne Field,5000,,Jacksonville,FL,,US,,12.51101398,1998,FALSE,30.3568843,-81.605476
3694,DeGol Field,3500,,Loretto,PA,,US,,586.9408569,2006,FALSE,40.5063173,-78.637214
3695,Delaware Stadium,22000,,Newark,DE,,US,,28.74350357,1952,FALSE,39.6617428,-75.7488224
