,abbreviation,alt_color,color,conference,division,logos,mascot,school
671,WASH,#e8e3d3,#2B2F64,Pac-12,North,"['http://a.espncdn.com/i/teamlogos/ncaa/500/264.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/264.png']",Huskies,Washington
672,WAS,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2686.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2686.png']",Presidents,Washington & Jefferson
673,UWL,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2688.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2688.png']",Generals,Washington & Lee
674,WAS,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/143.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/143.png']",Bears,Washington (MO)
675,WSU,#6a747c,#94022a,Pac-12,North,"['http://a.espncdn.com/i/teamlogos/ncaa/500/265.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/265.png']",Cougars,Washington State
676,WAY,,,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/630.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/630.png']",Pioneers,Wayland Baptist
677,WAY,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2845.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2845.png']",Yellow Jackets,Waynesburg
678,WAY,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/131.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/131.png']",Warriors,Wayne State (MI)
679,WAY,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2844.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2844.png']",Wildcats,Wayne State (NE)
680,WEBB,#909090,#bf2f38,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2691.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2691.png']",Warriors,Webber International
681,WEB,#ebebeb,#18005a,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2692.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2692.png']",Wildcats,Weber State
682,WES,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/336.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/336.png']",Cardinals,Wesleyan
