,abbreviation,alt_color,color,conference,division,logos,mascot,school
158,CUR,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/40.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/40.png']",Colonels,Curry
159,DSU,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/512.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/512.png']",Trojans,Dakota State
160,DWU,,,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/513.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/513.png']",Tigers,Dakota Wesleyan
161,DART,#000000,#005730,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/159.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/159.png']",Big Green,Dartmouth
162,DAV,#e51837,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2166.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2166.png']",Wildcats,Davidson
163,DAY,#ffffff,#004B8D,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2168.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2168.png']",Flyers,Dayton
164,DEF,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/190.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/190.png']",Yellow Jackets,Defiance
165,DEL,#e8ce31,#033594,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/48.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/48.png']",Blue Hens,Delaware
166,DSU,#009cdd,#FF3630,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2169.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2169.png']",Hornets,Delaware State
167,DV,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2808.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2808.png']",Aggies,Delaware Valley
168,DEL,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2170.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2170.png']",Statesmen,Delta State
169,DEN,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2171.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2171.png']",Big Red,Denison
170,DEP,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/83.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/83.png']",Tigers,DePauw
171,DIC,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2175.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2175.png']",Red Devils,Dickinson
172,DIC,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/316.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/316.png']",Blue Hawks,Dickinson State
173,DRKE,#c0c0c0,#004477,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2181.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2181.png']",Bulldogs,Drake
174,DUB,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/49.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/49.png']",Spartans,Dubuque
175,DUKE,#f1f2f3,#001A57,ACC,Coastal,"['http://a.espncdn.com/i/teamlogos/ncaa/500/150.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/150.png']",Blue Devils,Duke
176,DUQ,#b90b2e,#002D62,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2184.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2184.png']",Dukes,Duquesne
177,EAR,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2189.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2189.png']",Quakers,Earlham
178,ECU,#f0907b,#4b1869,American Athletic,East,"['http://a.espncdn.com/i/teamlogos/ncaa/500/151.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/151.png']",Pirates,East Carolina
179,EAS,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2191.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2191.png']",Tigers,East Central
180,EIU,#bebab9,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2197.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2197.png']",Panthers,Eastern Illinois
181,EKY,#f0f0f0,#660819,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2198.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2198.png']",Colonels,Eastern Kentucky
182,EMU,#f0f0f0,#00331b,Mid-American,West,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2199.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2199.png']",Eagles,Eastern Michigan
183,EAS,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2201.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2201.png']",Greyhounds,Eastern New Mexico
184,EAS,,,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2202.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2202.png']",Mountaineers,Eastern Oregon
185,EWU,#abb4bc,#a10022,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/331.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/331.png']",Eagles,Eastern Washington
186,EAS,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2188.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2188.png']",Warriors,East Stroudsburg
187,ETSU,#ffc423,#002d61,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2193.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2193.png']",Buccaneers,East Tennessee State
188,EAS,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2194.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2194.png']",Tigers,East Texas Baptist
189,EDI,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2205.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2205.png']",Fighting Scots,Edinboro
190,ELI,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2207.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2207.png']",Vikings,Elizabeth City State
191,ELM,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/72.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/72.png']",Blue Jays,Elmhurst
192,ELON,#b59a57,#020303,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2210.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2210.png']",Phoenix,Elon
193,EMO,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2213.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2213.png']",Wasps,Emory & Henry
194,EMP,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2214.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2214.png']",Hornets,Emporia State
195,END,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/452.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/452.png']",Gulls,Endicott College
196,ECC,,,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/3236.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/3236.png']",Kats,Erie Community College
197,EUR,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/101.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/101.png']",Red Devils,Eureka College
198,EVA,,,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2865.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2865.png']",Crusaders,Evangel
199,FAI,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2986.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2986.png']",Falcons,Fairmont State
200,FAU,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2219.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2219.png']",Eagles,Faulkner
201,FAY,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2220.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2220.png']",Broncos,Fayetteville State
202,FDU,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2221.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2221.png']",Devils,FDU-Florham
203,FER,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2222.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2222.png']",Bulldogs,Ferris State
204,FER,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/366.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/366.png']",Panthers,Ferrum
205,FIN,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2224.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2224.png']",Oilers,Findlay
206,FIT,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/114.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/114.png']",Falcons,Fitchburg State
207,FLA,#0021a5,#0021A5,SEC,East,"['http://a.espncdn.com/i/teamlogos/ncaa/500/57.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/57.png']",Gators,Florida
208,FAMU,#00843d,#F89728,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/50.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/50.png']",Rattlers,Florida A&M
209,FAU,#bb2f4c,#004B85,Conference USA,East,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2226.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2226.png']",Owls,Florida Atlantic
210,FIU,#c5960c,#001538,Conference USA,East,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2229.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2229.png']",Golden Panthers,Florida International
211,FSU,#ceb888,#782F40,ACC,Atlantic,"['http://a.espncdn.com/i/teamlogos/ncaa/500/52.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/52.png']",Seminoles,Florida State
212,FLTH,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/53.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/53.png']",Panthers,Florida Tech
213,FOR,#909090,#830032,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2230.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2230.png']",Rams,Fordham
214,FHSU,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2231.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2231.png']",Tigers,Fort Hays State
215,FOR,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2237.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2237.png']",Skyhawks,Fort Lewis
216,FOR,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2232.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2232.png']",Wildcats,Fort Valley State
217,FRA,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2967.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2967.png']",Rams,Framingham State
218,FRA,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2233.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2233.png']",Grizzlies,Franklin
219,F&M,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2234.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2234.png']",Diplomats,Franklin & Marshall
220,FRES,#231f20,#c41230,Mountain West,West,"['http://a.espncdn.com/i/teamlogos/ncaa/500/278.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/278.png']",Bulldogs,Fresno State
221,FRO,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/341.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/341.png']",Bobcats,Frostburg State
222,FUR,#909090,#4A2184,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/231.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/231.png']",Paladins,Furman
223,GAL,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/417.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/417.png']",Bison,Gallaudet
224,GAN,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/367.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/367.png']",Golden Knights,Gannon
225,WEBB,#909090,#c12535,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2241.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2241.png']",Bulldogs,Gardner-Webb
226,GEN,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2242.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2242.png']",Golden Tornadoes,Geneva College
227,GFU,,,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/415.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/415.png']",Bruins,George Fox University
228,GMU,#ecb010,#016600,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2244.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2244.png']",Patriots,George Mason
229,GTWN,#001c58,#110E42,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/46.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/46.png']",Hoyas,Georgetown
230,UGA,#000000,#CC0000,SEC,East,"['http://a.espncdn.com/i/teamlogos/ncaa/500/61.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/61.png']",Bulldogs,Georgia
231,GASO,#f0f0f0,#003775,Sun Belt,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/290.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/290.png']",Eagles,Georgia Southern
232,GAST,#ebebeb,#1e539a,Sun Belt,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2247.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2247.png']",Panthers,Georgia State
233,GT,#002c56,#00223e,ACC,Coastal,"['http://a.espncdn.com/i/teamlogos/ncaa/500/59.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/59.png']",Yellow Jackets,Georgia Tech
234,GET,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2248.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2248.png']",Bullets,Gettysburg
235,GLE,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2249.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2249.png']",Pioneers,Glenville State
236,GRC,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/530.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/530.png']",Yellowjackets,Graceland University
237,GRAM,#ffd10a,#ee8601,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2755.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2755.png']",Tigers,Grambling
238,GVSU,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/125.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/125.png']",Lakers,Grand Valley State
239,GRN,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2256.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2256.png']",Pride,Greensboro
240,GRE,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2257.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2257.png']",Panthers,Greenville
241,GRI,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/65.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/65.png']",Pioneers,Grinnell
242,GRO,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/146.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/146.png']",Wolverines,Grove City College
243,GUI,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2258.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2258.png']",Quakers,Guilford
244,GUS,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2968.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2968.png']",Golden Gusties,Gustavus Adolphus
245,HAM,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/348.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/348.png']",Continentals,Hamilton
246,HAM,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/162.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/162.png']",Fighting Pipers,Hamline
247,HAM,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/297.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/297.png']",Tigers,Hampden-Sydney
248,HAMP,,#0067AC,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2261.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2261.png']",Pirates,Hampton
249,HAN,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2262.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2262.png']",Panthers,Hanover
250,HAR,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2264.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2264.png']",Bison,Harding
251,HAR,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2810.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2810.png']",Cowboys,Hardin-Simmons
252,HAR,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/173.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/173.png']",Hawks,Hartwick
253,HARV,#dbdbdb,#990000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/108.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/108.png']",Crimson,Harvard
254,HAS,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/535.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/535.png']",Jayhawks,Haskell Indian Nations
255,HAW,#ffffff,#003420,Mountain West,West,"['http://a.espncdn.com/i/teamlogos/ncaa/500/62.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/62.png']",Rainbow Warriors,Hawai'i
256,HEI,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/191.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/191.png']",Student Princes,Heidelberg
257,HEN,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2271.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2271.png']",Reddies,Henderson State
258,HEND,,,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/418.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/418.png']",Warriors,Hendrix College
259,HIL,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2273.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2273.png']",Chargers,Hillsdale
260,HIR,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2274.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2274.png']",Terriers,Hiram
261,HOB,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/174.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/174.png']",Statesmen,Hobart
262,HC,,,,,,Hurricanes,Holland College
263,HC,#080808,#0a0a0a,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/107.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/107.png']",Crusaders,Holy Cross
264,HOP,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2812.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2812.png']",Flying Dutchmen,Hope
265,HOU,#231f20,#C90822,American Athletic,West,"['http://a.espncdn.com/i/teamlogos/ncaa/500/248.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/248.png']",Cougars,Houston
266,HBU,,#00539c,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2277.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2277.png']",Huskies,Houston Baptist
267,HOW,#6b818d,#9e0b0e,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/47.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/47.png']",Bison,Howard
268,HOW,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2758.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2758.png']",Yellow Jackets,Howard Payne
269,HUM,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2278.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2278.png']",Lumberjacks,Humboldt State
270,HUN,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2938.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2938.png']",Hawks,Huntingdon
271,HUS,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2280.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2280.png']",Eagles,Husson
272,IDHO,#8c6e4a,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/70.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/70.png']",Vandals,Idaho
273,IDST,#e9a126,#ef8c00,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/304.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/304.png']",Bengals,Idaho State
274,ILL,#fa6300,#f77329,Big Ten,West,"['http://a.espncdn.com/i/teamlogos/ncaa/500/356.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/356.png']",Fighting Illini,Illinois
275,ILLC,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2286.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2286.png']",Blueboys,Illinois College
276,ILST,#ffe716,#CE1126,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2287.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2287.png']",Redbirds,Illinois State
277,ILL,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/306.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/306.png']",Titans,Illinois Wesleyan
278,IW,#080808,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2916.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2916.png']",Cardinals,Incarnate Word
279,IND,#eeedeb,#7D110C,Big Ten,East,"['http://a.espncdn.com/i/teamlogos/ncaa/500/84.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/84.png']",Hoosiers,Indiana
280,IND,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2291.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2291.png']",Crimson Hawks,Indiana (PA)
281,IND,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2292.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2292.png']",Greyhounds,Indianapolis
282,INST,#f0f0f0,#00669a,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/282.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/282.png']",Sycamores,Indiana State
283,IOWA,#ffe100,#000000,Big Ten,West,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2294.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2294.png']",Hawkeyes,Iowa
284,ISU,#830b2c,#660015,Big 12,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/66.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/66.png']",Cyclones,Iowa State
285,IOW,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2295.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2295.png']",Tigers,Iowa Wesleyan
286,ITH,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/175.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/175.png']",Bombers,Ithaca
287,JKST,#b5b7ba,#123297,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2296.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2296.png']",Tigers,Jackson State
288,JAC,,#00523e,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/294.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/294.png']",Dolphins,Jacksonville
289,JVST,#b5b7ba,#b50500,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/55.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/55.png']",Gamecocks,Jacksonville State
290,JMU,#cbb778,#450084,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/256.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/256.png']",Dukes,James Madison
291,JAM,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2939.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2939.png']",Jimmies,Jamestown
292,JOH,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2302.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2302.png']",Blue Streaks,John Carroll
293,JOH,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/118.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/118.png']",Blue Jays,Johns Hopkins
294,JOH,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2304.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2304.png']",Golden Bulls,Johnson C Smith
295,JUN,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/246.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/246.png']",Eagles,Juniata
296,KAL,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/126.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/126.png']",Hornets,Kalamazoo
297,KU,#e8000d,#0022B4,Big 12,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2305.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2305.png']",Jayhawks,Kansas
298,KSU,#e7d2ad,#633194,Big 12,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2306.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2306.png']",Wildcats,Kansas State
299,KNW,,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/547.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/547.png']",Coyotes,Kansas Wesleyan University
300,KENN,#fdbb30,#000000,,,"['http://a.espncdn.com/i/teamlogos/ncaa/500/338.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/338.png']",Owls,Kennesaw State
301,KENT,#f0b510,#002445,Mid-American,East,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2309.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2309.png']",Golden Flashes,Kent State
